Name,License_No,Area,Police_Station,Address,Gun_Type,Weapon_Model,Issue_Date,Expiry_Date,Status,Mobile,Gender,DOB,Remarks
Sunil Jain,MP-BPL-2020-992865,Shyamla Hills,Shyamla Hills Police Station,"599/215, Mukti Path, Shyamla Hills, Bhopal, Madhya Pradesh",Double Barrel,12 Bore DBBL,2020-02-11,2030-02-08,Submitted,6286857872,Male,1994-12-11,Due to festival
Mohit Yadav,MP-BPL-2011-762494,Berasia,Berasia Police Station,"285, Gandhi Road, Berasia, Bhopal, Madhya Pradesh",Revolver,.32 Bore Pistol,2019-11-05,2029-11-02,Active,+919218563520,Male,1982-06-11,
Priya Singh,MP-BPL-2013-691042,Kolar Road,Kolar Road Police Station,"H.No. 27/443, Kranti Road, Kolar Road, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2016-09-24,2026-09-22,Active,7973239644,Female,1993-04-19,
Chetan Sethi,MP-BPL-2024-415997,Chhola Road,Chhola Road Police Station,"532, Durga Chowk, Chhola Road, Bhopal, Madhya Pradesh",Revolver,.32 Bore Pistol,2020-01-25,2030-01-22,Active,9557922030,Male,1990-08-11,
Rashika Shah,MP-BPL-2013-855562,Bawadiya Kalan,Bawadiya Kalan Police Station,"499, Aman Nagar, Bawadiya Kalan, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2017-11-25,2027-11-23,Active,6203471754,Female,1960-07-23,
Vipul Sethi,MP-BPL-2013-534037,Piplani,Piplani Police Station,"H.No. 885, Tilak Street, Piplani, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2018-10-09,2028-10-06,Active,9423536937,Male,1954-04-07,
Lalit Jindal,MP-BPL-2019-578788,Indrapuri,Indrapuri Police Station,"237, Pragati Marg, Indrapuri, Bhopal, Madhya Pradesh",Pistol,9mm Pistol,2018-11-30,2028-11-27,Active,7116992135,Male,1987-02-03,
Pramod Jain,MP-BPL-2010-156778,Roshanpura,Roshanpura Police Station,"434, Aman Ganj, Roshanpura, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2017-08-13,2027-08-11,Active,9271875003,Male,1972-11-29,
Avinash Bhatia,MP-BPL-2023-281720,Shyamla Hills,Shyamla Hills Police Station,"696/824, Safalta Chowk, Shyamla Hills, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2019-12-22,2029-12-19,Active,7426834414,Male,1992-08-24,
Avinash Malhotra,MP-BPL-2018-308652,Roshanpura,Roshanpura Police Station,"377/775, Azad Zila, Roshanpura, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2018-06-02,2028-05-30,Submitted,6065735174,Male,1959-05-11,Due to festival
Mahesh Tiwari,MP-BPL-2012-495758,Bagsewaniya,Bagsewaniya Police Station,"H.No. 295, Kranti Street, Bagsewaniya, Bhopal, Madhya Pradesh",Double Barrel,12 Bore DBBL,2012-12-12,2022-12-10,Revoked,+919878599648,Male,1966-01-25,Due to election
Ashok Rathore,MP-BPL-2024-144413,Bawadiya Kalan,Bawadiya Kalan Police Station,"988, Azad Marg, Bawadiya Kalan, Bhopal, Madhya Pradesh",Double Barrel,12 Bore DBBL,2016-02-02,2026-01-30,Active,+918285067625,Male,1950-05-22,
Amit Pandey,MP-BPL-2011-739731,Govindpura,Govindpura Police Station,"64/349, Nehru Zila, Govindpura, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2019-04-02,2029-03-30,Active,6433335384,Male,1970-08-28,
Rakesh Sharma,MP-BPL-2015-621546,Karond,Karond Police Station,"180, Aman Circle, Karond, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2015-12-27,2025-12-24,Submitted,8160607159,Male,1983-04-16,Due to order
Rahul Verma,MP-BPL-2016-466263,Shyamla Hills,Shyamla Hills Police Station,"229/318, Pragati Nagar, Shyamla Hills, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2019-02-15,2029-02-12,Active,+919157557166,Male,1953-07-14,
Rakesh Patel,MP-BPL-2023-328939,MP Nagar,MP Nagar Police Station,"H.No. 383, Udyan Path, MP Nagar, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2017-08-04,2027-08-02,Active,+919846767809,Male,1967-11-25,
Sahil Kumar,MP-BPL-2020-941945,Shahpura,Shahpura Police Station,"264/833, Safalta Colony, Shahpura, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2018-02-24,2028-02-22,Active,9973577907,Male,1982-08-21,
Anil Singh,MP-BPL-2021-282242,Saket Nagar,Saket Nagar Police Station,"30/539, Subhash Street, Saket Nagar, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2018-02-23,2028-02-21,Active,9209906931,Male,1957-09-16,
Vipul Singh,MP-BPL-2016-148001,New Market,New Market Police Station,"505, Bhakti Colony, New Market, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2014-11-15,2024-11-12,Expired,7316373516,Male,1999-06-14,Due to festival
Rashika Goyal,MP-BPL-2011-710756,Ayodhya Nagar,Ayodhya Nagar Police Station,"658, Tilak Colony, Ayodhya Nagar, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2011-01-26,2021-01-23,Revoked,7440777946,Female,1952-02-12,Due to order
Pavan Verma,MP-BPL-2013-114328,Saket Nagar,Saket Nagar Police Station,"623, Pragati Path, Saket Nagar, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2013-07-23,2023-07-21,Revoked,7233700715,Male,1973-01-22,Due to election
Deepak Chauhan,MP-BPL-2018-183982,Habibganj,Habibganj Police Station,"581/953, Tagore Road, Habibganj, Bhopal, Madhya Pradesh",Rifle,.38 Revolver,2018-10-26,2028-10-23,Active,7653371708,Male,1972-06-13,
Prakash Mehta,MP-BPL-2018-813989,Habibganj,Habibganj Police Station,"H.No. 21/3, Bhakti Ganj, Habibganj, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2015-09-04,2025-09-01,Active,9715207710,Male,1962-12-18,
Pavan Khanna,MP-BPL-2013-102643,MP Nagar,MP Nagar Police Station,"440, Saraswati Road, MP Nagar, Bhopal, Madhya Pradesh",Rifle,.38 Revolver,2013-06-22,2023-06-20,Submitted,8882188496,Male,1957-09-05,Due to order
Rohit Shah,MP-BPL-2021-438277,Roshanpura,Roshanpura Police Station,"847/820, Durga Chowk, Roshanpura, Bhopal, Madhya Pradesh",Pistol,9mm Pistol,2019-08-01,2029-07-29,Active,8189520284,Male,1982-08-26,
Manoj Chauhan,MP-BPL-2020-570596,Ashoka Garden,Ashoka Garden Police Station,"59, Tilak Colony, Ashoka Garden, Bhopal, Madhya Pradesh",Pistol,9mm Pistol,2020-02-24,2030-02-21,Submitted,6148656581,Male,1957-12-09,Due to festival
Ankit Mittal,MP-BPL-2017-580005,Shyamla Hills,Shyamla Hills Police Station,"896, Kranti Path, Shyamla Hills, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2017-06-23,2027-06-21,Active,7410397739,Male,1958-05-07,
Kapil Khanna,MP-BPL-2016-651710,Roshanpura,Roshanpura Police Station,"H.No. 688, Gandhi Circle, Roshanpura, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2017-04-20,2027-04-18,Active,7529493074,Male,1954-07-09,
Alok Pandey,MP-BPL-2019-865090,TT Nagar,TT Nagar Police Station,"105/488, Unnati Ganj, TT Nagar, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2018-06-12,2028-06-09,Active,8461992406,Male,1966-08-27,
Alok Shukla,MP-BPL-2021-422548,Patel Nagar,Patel Nagar Police Station,"H.No. 175, Prakash Colony, Patel Nagar, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2021-04-30,2031-04-28,Submitted,+916419887263,Male,1975-09-26,Due to election
Savita Gupta,MP-BPL-2014-758472,Karond,Karond Police Station,"415/373, Subhash Nagar, Karond, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2014-01-16,2024-01-14,Submitted,8070783847,Female,1984-01-05,Due to festival
Arjun Verma,MP-BPL-2016-208691,New Market,New Market Police Station,"H.No. 288/103, Patel Street, New Market, Bhopal, Madhya Pradesh",Revolver,.32 Bore Pistol,2013-04-20,2023-04-18,Expired,8886008017,Male,1969-11-30,Due to festival
Preeti Mehta,MP-BPL-2023-719478,Bagsewaniya,Bagsewaniya Police Station,"260, Mukti Road, Bagsewaniya, Bhopal, Madhya Pradesh",Revolver,.32 Bore Pistol,2023-09-14,2033-09-11,Revoked,7474420359,Female,1962-02-24,Due to order
Rajesh Sachdeva,MP-BPL-2010-929179,Piplani,Piplani Police Station,"H.No. 691/180, Pragati Road, Piplani, Bhopal, Madhya Pradesh",Rifle,.38 Revolver,2020-04-21,2030-04-19,Active,+919851612275,Male,1968-01-20,
Dinesh Verma,MP-BPL-2013-774238,Vidya Nagar,Vidya Nagar Police Station,"H.No. 393, Lakshmi Chowk, Vidya Nagar, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2018-12-30,2028-12-27,Active,7023766696,Male,1978-10-21,
Ramesh Bansal,MP-BPL-2019-487236,Vidya Nagar,Vidya Nagar Police Station,"249, Prakash Colony, Vidya Nagar, Bhopal, Madhya Pradesh",Air Gun,.22 Rifle,2015-03-07,2025-03-04,Expired,7313427557,Male,2000-08-24,Due to election
Ashok Thakur,MP-BPL-2022-912767,Kolar Road,Kolar Road Police Station,"258, Patel Street, Kolar Road, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2016-05-09,2026-05-07,Active,8596363212,Male,1957-10-14,
Ankit Verma,MP-BPL-2018-141987,Indrapuri,Indrapuri Police Station,"H.No. 765, Shanti Ganj, Indrapuri, Bhopal, Madhya Pradesh",Double Barrel,9mm Pistol,2019-11-20,2029-11-17,Active,+917313246598,Male,1950-11-01,
Akhil Khandelwal,MP-BPL-2017-297447,Shyamla Hills,Shyamla Hills Police Station,"H.No. 4, Nehru Zila, Shyamla Hills, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2020-11-08,2030-11-06,Active,8278105580,Male,1999-07-15,
Ritu Desai,MP-BPL-2017-799393,Vidya Nagar,Vidya Nagar Police Station,"H.No. 764/788, Tilak Road, Vidya Nagar, Bhopal, Madhya Pradesh",Revolver,.32 Bore Pistol,2018-11-22,2028-11-19,Active,+917265732759,Female,1951-01-26,
Rajesh Mehra,MP-BPL-2019-936039,New Market,New Market Police Station,"695, Azad Street, New Market, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2016-03-19,2026-03-17,Active,8694544149,Male,1979-07-22,
Akhil Maheshwari,MP-BPL-2020-158391,Patel Nagar,Patel Nagar Police Station,"H.No. 131, Tilak Ganj, Patel Nagar, Bhopal, Madhya Pradesh",Air Gun,.32 Bore Pistol,2015-11-20,2025-11-17,Active,8677125158,Male,1986-03-17,
Suresh Bhatia,MP-BPL-2017-907868,Katara Hills,Katara Hills Police Station,"H.No. 123, Lakshmi Nagar, Katara Hills, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2016-05-05,2026-05-03,Active,6720113798,Male,1980-04-29,
Mukesh Sethi,MP-BPL-2020-617695,Roshanpura,Roshanpura Police Station,"H.No. 291, Mukti Chowk, Roshanpura, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2020-05-20,2030-05-18,Active,9386463175,Male,1955-09-01,
Savita Patel,MP-BPL-2024-648922,Chhola Road,Chhola Road Police Station,"858/525, Vikas Marg, Chhola Road, Bhopal, Madhya Pradesh",Double Barrel,9mm Pistol,2020-11-19,2030-11-17,Active,7159927943,Female,1982-08-13,
Rakesh Jindal,MP-BPL-2016-550797,TT Nagar,TT Nagar Police Station,"H.No. 695/499, Azad Circle, TT Nagar, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2015-06-17,2025-06-14,Expired,7690034324,Male,1978-03-08,Due to order
Alok Bhatia,MP-BPL-2011-679198,BHEL,BHEL Police Station,"103/771, Nehru Street, BHEL, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2016-03-10,2026-03-08,Active,8402119017,Male,1976-01-10,
Neeti Mehra,MP-BPL-2017-111749,New Market,New Market Police Station,"185, Unnati Circle, New Market, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2015-02-09,2025-02-06,Expired,8198306323,Female,1959-09-21,Due to festival
Nikhil Mittal,MP-BPL-2010-616422,Koh-e-Fiza,Koh-e-Fiza Police Station,"999/443, Vikas Street, Koh-e-Fiza, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2017-06-05,2027-06-03,Active,9967148030,Male,1986-04-17,
Vipul Yadav,MP-BPL-2019-707744,Ashoka Garden,Ashoka Garden Police Station,"759/503, Udyan Circle, Ashoka Garden, Bhopal, Madhya Pradesh",Double Barrel,9mm Pistol,2014-06-02,2024-05-30,Expired,6647245257,Male,1997-10-21,
Alok Singh,MP-BPL-2012-109870,Raisen Road,Raisen Road Police Station,"505, Shakti Chowk, Raisen Road, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2017-12-12,2027-12-10,Active,7163129755,Male,1976-03-05,
Deepika Shukla,MP-BPL-2017-709022,Hoshangabad Road,Hoshangabad Road Police Station,"139, Tilak Ganj, Hoshangabad Road, Bhopal, Madhya Pradesh",Double Barrel,9mm Pistol,2020-02-07,2030-02-04,Active,+918596889109,Female,1968-06-17,
Suresh Bansal,MP-BPL-2023-374025,Vidya Nagar,Vidya Nagar Police Station,"967/261, Saraswati Colony, Vidya Nagar, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2021-01-02,2030-12-31,Active,+917011669183,Male,1985-10-18,
Arun Sethi,MP-BPL-2021-817999,Koh-e-Fiza,Koh-e-Fiza Police Station,"92, Udyan Ganj, Koh-e-Fiza, Bhopal, Madhya Pradesh",Double Barrel,9mm Pistol,2017-08-15,2027-08-13,Active,7559042597,Male,1952-02-13,
Ashok Kumar,MP-BPL-2018-617776,Chunabhatti,Chunabhatti Police Station,"967/972, Unnati Chowk, Chunabhatti, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2018-05-06,2028-05-03,Submitted,9556192218,Male,1970-09-27,Due to festival
Pavan Malhotra,MP-BPL-2023-943676,Habibganj,Habibganj Police Station,"644, Prakash Ganj, Habibganj, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2017-11-08,2027-11-06,Active,+916825263794,Male,1968-05-28,
Vinod Malhotra,MP-BPL-2025-754589,Bairagarh,Bairagarh Police Station,"165/135, Mukti Path, Bairagarh, Bhopal, Madhya Pradesh",Rifle,.38 Revolver,2016-06-21,2026-06-19,Active,6788216511,Male,1988-02-04,
Pramod Joshi,MP-BPL-2018-192295,Hoshangabad Road,Hoshangabad Road Police Station,"458, Kranti Zila, Hoshangabad Road, Bhopal, Madhya Pradesh",Revolver,.32 Bore Pistol,2016-03-30,2026-03-28,Active,+919608801994,Male,1951-08-10,
Rahul Gupta,MP-BPL-2016-252436,Saket Nagar,Saket Nagar Police Station,"684/618, Durga Nagar, Saket Nagar, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2015-12-11,2025-12-08,Active,+916622499982,Male,1983-06-28,
Mohit Khandelwal,MP-BPL-2017-545629,Kolar Road,Kolar Road Police Station,"408/180, Saraswati Road, Kolar Road, Bhopal, Madhya Pradesh",Double Barrel,9mm Pistol,2016-02-26,2026-02-23,Active,9558062475,Male,1957-01-24,
Kavita Singhal,MP-BPL-2011-633638,Berasia,Berasia Police Station,"582/163, Lakshmi Street, Berasia, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2011-07-05,2021-07-02,Revoked,9155793277,Female,1989-09-26,Due to order
Lekha Goyal,MP-BPL-2025-786927,Bawadiya Kalan,Bawadiya Kalan Police Station,"18, Shakti Chowk, Bawadiya Kalan, Bhopal, Madhya Pradesh",Double Barrel,12 Bore DBBL,2016-08-13,2026-08-11,Active,+918806601382,Female,1992-08-10,
Mahesh Mittal,MP-BPL-2021-400973,Bagsewaniya,Bagsewaniya Police Station,"456, Lakshmi Circle, Bagsewaniya, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2016-08-11,2026-08-09,Active,7456538694,Male,1972-12-02,
Neeti Kumar,MP-BPL-2025-568189,Shahpura,Shahpura Police Station,"888, Mukti Nagar, Shahpura, Bhopal, Madhya Pradesh",Rifle,.38 Revolver,2013-09-10,2023-09-08,Expired,9263678508,Female,1951-05-23,Due to festival
Rahul Kumar,MP-BPL-2014-883977,Chunabhatti,Chunabhatti Police Station,"939, Pragati Road, Chunabhatti, Bhopal, Madhya Pradesh",Air Gun,.38 Revolver,2017-05-26,2027-05-24,Active,+918136365905,Male,1969-12-03,
Sahil Shukla,MP-BPL-2014-922497,Indrapuri,Indrapuri Police Station,"622, Udyan Zila, Indrapuri, Bhopal, Madhya Pradesh",Double Barrel,.22 Rifle,2017-01-11,2027-01-09,Active,+916828560539,Male,1961-11-13,
Rekha Sachdeva,MP-BPL-2025-849478,Hoshangabad Road,Hoshangabad Road Police Station,"34, Saraswati Circle, Hoshangabad Road, Bhopal, Madhya Pradesh",Double Barrel,9mm Pistol,2025-06-16,2035-06-14,Submitted,7493534001,Female,1981-11-05,Due to festival
Seeta Agarwal,MP-BPL-2013-312398,Vidya Nagar,Vidya Nagar Police Station,"H.No. 612/505, Azad Chowk, Vidya Nagar, Bhopal, Madhya Pradesh",Air Gun,.38 Revolver,2012-12-03,2022-12-01,Expired,6405786170,Female,1967-01-30,Due to election
Avinash Malhotra,MP-BPL-2019-161188,Patel Nagar,Patel Nagar Police Station,"H.No. 109/644, Bhakti Chowk, Patel Nagar, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2019-06-24,2029-06-21,Revoked,9563558422,Male,1952-01-10,Due to election
Anjali Rathore,MP-BPL-2011-665482,Arera Colony,Arera Colony Police Station,"919/695, Unnati Ganj, Arera Colony, Bhopal, Madhya Pradesh",Double Barrel,12 Bore DBBL,2018-01-10,2028-01-08,Active,8086376599,Female,1992-11-14,
Rajesh Verma,MP-BPL-2022-912965,Ashoka Garden,Ashoka Garden Police Station,"25/741, Gandhi Ganj, Ashoka Garden, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2022-02-12,2032-02-10,Submitted,7911371785,Male,1983-02-27,Due to election
Dinesh Jain,MP-BPL-2020-639908,Chunabhatti,Chunabhatti Police Station,"941, Udyan Colony, Chunabhatti, Bhopal, Madhya Pradesh",Double Barrel,.22 Rifle,2017-12-03,2027-12-01,Active,7415599910,Male,1959-06-13,
Sumit Mittal,MP-BPL-2010-771697,Hoshangabad Road,Hoshangabad Road Police Station,"346, Pragati Street, Hoshangabad Road, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2020-06-05,2030-06-03,Active,6125355449,Male,1973-01-18,
